model,fold,best_val_loss,epochs_ran,training_time_seconds,inference_time_seconds,checkpoint_path
gru,17,1.1251945048570633,12,10.070821959001478,0.0567126249952707,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/gru/fold_0017.pt
cnn1d,17,1.1220165193080902,34,4.80283208299079,0.0096114189364016,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn1d/fold_0017.pt
dnfs,17,1.1261922667423885,14,1.955498124996666,0.0111085400276351,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/dnfs/fold_0017.pt
lstm_gru,17,1.125324860215187,9,8.480437249992974,0.0783841228985693,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm_gru/fold_0017.pt
cnn_lstm,17,1.1243172983328502,15,7.151747833995614,0.0198074600484687,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn_lstm/fold_0017.pt
naive_persistence,18,,0,0.0,0.0,
linear_regression,18,,0,0.0102330830122809,0.0010855839063879,
mlp,18,1.1365653922160466,9,0.9435056249785704,0.0111915840243455,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/mlp/fold_0018.pt
rnn,18,1.1296360244353612,15,8.285330042010173,0.053078792989254,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/rnn/fold_0018.pt
lstm,18,1.1342627356449764,15,5.366408041998511,0.0175233729823958,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm/fold_0018.pt
gru,18,1.1359447340170543,16,15.22306566601037,0.060239751037443,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/gru/fold_0018.pt
cnn1d,18,1.1310935417811077,11,1.6942247090046294,0.0128125400224234,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn1d/fold_0018.pt
dnfs,18,1.1375067432721455,9,1.378215042001102,0.0117691259656567,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/dnfs/fold_0018.pt
lstm_gru,18,1.133481780687968,15,14.791107666998869,0.0731018329970538,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm_gru/fold_0018.pt
cnn_lstm,18,1.1314879010121028,24,9.993057624989888,0.0199577509192749,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn_lstm/fold_0018.pt
naive_persistence,19,,0,0.0,0.0,
linear_regression,19,,0,0.0110387910099234,0.0013608739536721,
mlp,19,1.0893138324220974,15,1.912261582998326,0.014400040032342,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/mlp/fold_0019.pt
rnn,19,1.087746595342954,14,7.5616780830023345,0.058428292046301,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/rnn/fold_0019.pt
lstm,19,1.0901046593983967,11,4.225262624997413,0.0168754149635788,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm/fold_0019.pt
gru,19,1.0897500663995745,11,10.46571566700004,0.063504251971608,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/gru/fold_0019.pt
cnn1d,19,1.0855692227681475,45,7.620081500004744,0.0108795430278405,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn1d/fold_0019.pt
dnfs,19,1.0913237929344175,19,3.3673590830003377,0.0124602909199893,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/dnfs/fold_0019.pt
